2019-01-24 05:49:S | logs Cleared: By User ID 1
2019-01-29 15:04:S | login: joshua logged in.
2019-02-11 10:45:S | login: joshua logged in.
2019-04-17 13:47:S | login: joshua logged in.
2019-04-26 12:54:S | login:  logged in.
2019-09-10 14:17:S | login:  logged in.
2019-09-10 16:42:S | login:  logged in.
2019-09-10 17:26:S | login:  logged in.
2019-09-10 17:26:S | login:  logged in.
2019-09-18 12:47:S | login:  logged in.
2019-09-18 13:40:S | login:  logged in.
2019-09-30 23:52:S | login:  logged in.
2019-10-02 01:50:S | login:  logged in.
2019-10-03 09:54:S | login:  logged in.
2019-10-08 14:05:S | login:  logged in.
2019-10-08 14:09:S | login:  logged in.
2019-10-08 14:23:S | login:  logged in.
2019-10-11 13:04:S | login:  logged in.
2019-10-12 21:22:S | login:  logged in.
2019-10-13 02:50:S | login:  logged in.
2019-10-16 00:46:S | login:  logged in.
2019-10-17 12:22:S | login:  logged in.
2019-10-21 10:29:S | login:  logged in.
2019-10-21 10:31:S | login:  logged in.
2019-10-21 10:34:S | login:  logged in.
2019-10-23 04:58:S | login:  logged in.
2019-10-24 05:59:S | login:  logged in.
2019-10-26 18:24:S | login:  logged in.
2019-11-26 00:56:S | login:  logged in.
2020-01-10 13:19:S | login:  logged in.
2020-07-26 20:10:S | login:  logged in.
